ticker_name,exchange_name,exchange_token_balance (cryptocurrency),exchange_value (USD),one_day_change (cryptocurrency),seven_day_change (cryptocurrency),three_day_change (cryptocurrency)
ETH,Crypto.com Exchange,289838,610748439,344.38,-6780.77,-226741
ETH,Bithumb,200014,421470303,0,0,-3.001
ETH,Bybit,166788,351456590,6267.91,12623.13,6318.45
ETH,gate.io,154253,325042414,-1717.14,-5651.11,-15478.19
ETH,KuCoin,148820,313594384,1176.81,258,681.08
ETH,Bittrex,124955,263306087,-3454.61,-11389.08,-24936.16
ETH,Coinone,91002.94,191761403,-982.65,-1642.98,-2158.76
ETH,Huobi Global,86417.9,182099812,-7.498,-23.34,-10313.52
ETH,bitFlyer,74321.63,156610548,-1105,-860,-5355
ETH,Binance.US,72064.22,151853730,-376.59,-176.18,-1771.82
ETH,Korbit,57516.63,121199045,-650.38,-662.78,-2033.25
ETH,Luno,29610.77,62395816,1259.48,274.63,-2117.93
ETH,IDEX,17137.03,36111155,-1.513,-1.887,-10.32
ETH,Bitget,15554.5,32776449,100.12,655.19,1118.44
ETH,Coinbase Pro,15085.56,31788305,-9588.24,-9932.91,1740.61
ETH,Curve,14392.89,30328701,-30.44,-776.11,-1103.19
ETH,BitMEX,13055.71,27511006,382.42,752.84,253.72
ETH,MEXC Global,13000.79,27395283,-196.09,675.08,-1254.47
ETH,Poloniex,11012.88,23206341,-454.27,-391.09,-3411.39
ETH,YoBit,10025.23,21125179,-128.87,-60.34,1996.99
ETH,BitZ,10001.08,21074288,0,0,0
ETH,CoinSwitch,8923.86,18804370,-12.24,-12.27,-68.07
ETH,Indodax,5729.62,12073465,-353.57,-354.67,-1137.4
ETH,Phemex,5572.6,11742591,0,0,3499.99
ETH,BigONE,4046.57,8526950,-1.481,-432.13,-808.33
USDT,Binance,2703092503,2704173740,-103723060,185334388,14742633
USDT,OKX(OKEx),1584032065,1584665678,21313474,121750683,726522161
USDT,Bybit,948738131,949117626,-17900069,-34434988,47489972
USDT,KuCoin,608805664,609049186,-7468798,5120233,47218663
USDT,MEXC Global,379755841,379907743,8205738,16292226,88840271
USDT,Bitfinex,293028302,293145514,-39135606,-184656077,-479715894
USDT,gate.io,201809520,201890244,-3541274,-2376392,18161094
USDT,Bitget,179867851,179939799,1112343,1671992,437782
USDT,Huobi Global,153096988,153158227,10640214,34453152,48476126
USDT,BitMEX,141023221,141079630,-1265444,-2975818,4774962
USDT,Crypto.com Exchange,102492222,102533219,-8758149,19867352,28404502
USDT,Bittrex,82345046,82377984,2018,10683.84,-8934099
USDT,Okcoin,70702325,70730606,4328392,-14366826,28756476
USDT,Phemex,46650075,46668735,0,0,-1000000
USDT,Poloniex,26559267,26569891,-2585.84,599112,-1086151
USDT,Binance.US,23932677,23942250,5615248,-11062049,1285449
USDT,Coinbase Pro,14532249,14538062,-10753414,-383189,-1827881
USDT,Coinlist Pro,11330007,11334539,33466.58,322662,-275179
USDT,Indodax,11074688,11079118,1303500,2366457,2323693
USDT,YoBit,5941017,5943394,-75133.07,22532.08,249274
USDT,AscendEX,4830402,4832334,305255,184862,433381
USDT,CoinSwitch,3332901,3334234,39185.56,130113,12101.43
USDT,WhiteBIT,3319504,3320832,316812,2021448,-6194170
USDT,Kuna,3277399,3278710,0,0,0
USDT,BitZ,3072757,3073986,1009,5341.92,32950.38
USDT,Gemini,3039098,3040313,364493,-2204226,-240237
USDT,Coinw,3034132,3035346,304380,466113,2236661
USDT,Bithumb,2984758,2985952,13117,69444.98,428355
USDT,CoinEx,2592809,2593846,-189387,-696494,-8474993
USDT,BigONE,2207734,2208617,48676.86,25673.62,457103
BNB,Binance,21268.56,7007352,2.605,14.43,12030.85
BNB,Binance.US,2113.08,696199,0.4487,1.486,1375.92
BNB,gate.io,1228.67,404809,0,0,0
BNB,Crypto.com Exchange,116.87,38506.81,0,0,0
BNB,CoinExchange,73.09,24081.85,0,0,0
BNB,IDEX,25.22,8309.06,0,0,0
BNB,KuCoin,5.393,1776.95,0,0,0
BNB,Huobi Global,2.1,691.88,0,0,0
BNB,Binance JEX,2,658.95,0,0,0
BNB,Indodax,2,658.94,0,0,0
BNB,CoinEx,0.8132,267.95,0,0,0
BNB,Korbit,0.7,230.62,0,0,0
BNB,AscendEX,0.3665,120.78,0,0,0
BNB,BKEX,0.1615,53.23,0,0,0
BNB,Bitfinex,0.15,49.42,0,0,0
BNB,Kraken,0.15,49.42,0,0,0
BNB,OKX(OKEx),0.15,49.42,0,0,0
BNB,Poloniex,0.15,49.42,0,0,0
BNB,Coinbase Pro,0.103,33.93,0,0,0
BNB,MEXC Global,0.0501,16.5,0,0,0
BNB,Coinw,0.01628,5.36,0,0,0
BNB,Hotbit,0.000595,0.2,0,0,0
BNB,CREX24,0.000583,0.19,0,0,0
BNB,BigONE,9.00E-08,0,0,0,0
BNB,OTCBTC,0,0,0,0,0
USDC,Binance,1702022326,1700490506,-101380992,-50025132,-3413324318
USDC,Crypto.com Exchange,320821962,320533222,-21948888,-26317303,-388209681
USDC,Coinbase Pro,272204574,271959590,241150420,60626822,9457104
USDC,Kraken,173675022,173518714,-4792993,-1332716,40291946
USDC,OKX(OKEx),146447433,146315630,-20055650,34676815,-214155149
USDC,KuCoin,68219503,68158106,-2562176,-2064699,-52236218
USDC,Bitget,45185876,45145208,-281837,-1439491,-6000961
USDC,MEXC Global,43836988,43797535,-187855,8105352,2261338
USDC,Huobi Global,21699388,21679858,1357755,2740384,-87051648
USDC,Bitfinex,21295193,21276027,363834,1424659,2937138
USDC,Bybit,15330807,15317009,-15050064,-13592571,-30193705
USDC,Okcoin,9152359,9144122,-143731,-8116550,-4958801
USDC,Binance.US,6450774,6444968,1356672,-4883210,-421949
USDC,Gemini,5972947,5967571,-1932552,-3348026,-14488162
USDC,Coinlist Pro,5607542,5602495,-31505.04,1628505,-13215254
USDC,Poloniex,4289316,4285456,-60448.22,-175186,-1567927
USDC,Phemex,3326581,3323587,0,0,-2000000
USDC,AscendEX,1542205,1540817,17869.46,775695,23847.67
USDC,Indodax,1148884,1147850,12629.56,21574.53,50299.47
USDC,CEX.IO,993838,992943,-573761,-503226,-3437290
USDC,WhiteBIT,956296,955436,762199,839963,491691
USDC,Kuna,881393,880600,0,0,0
USDC,Bitrue,563804,563296,-60699.12,-541865,75731.55
USDC,Remitano,474555,474128,-212.81,17381.11,231298
USDC,WOO X,428220,427835,-946878,-946878,0
USDC,ProBit Global,423480,423099,-69.72,2488.78,-485225
USDC,Korbit,337718,337414,-5861.76,38440.66,-55010.81
USDC,gate.io,290740,290479,8727.51,16077.72,-37355492
USDC,Hotbit,177940,177780,-241.01,-12056.07,-15886.48
USDC,HitBTC,172267,172112,0,4130,4130
XRP,Binance,103976086,54670626,-12133.07,-281328,4936652
XRP,gate.io,7877.06,4141.75,0,0,0
ADA,Binance,30189916,13268468,1710251,1785747,5466985
ADA,gate.io,8735.65,3839.31,0,0,-115.11
DOGE,Binance,133568520,11875042,5092450,24963809,54837678
DOGE,MEXC Global,4284116,380883,1747592,3761339,555141
DOGE,gate.io,145300,12918.11,0,-6416.64,-8470.87
OKB,OKX(OKEx),8114711,387955415,-662.06,718.86,3600015
OKB,gate.io,29380.7,1404659,695.38,692.35,2569.78
OKB,Indodax,6791.2,324679,0,0,-5.045
OKB,Hotbit,4929.71,235684,0,0,0
OKB,Bitfinex,4637.72,221724,0,0,0
OKB,AscendEX,2411.65,115298,0,0,0
OKB,Poloniex,521.61,24937.91,0,0,0
OKB,MEXC Global,496.93,23757.97,-0.8407,5.538,-280.77
OKB,ProBit Global,288.89,13811.92,0,0,0
OKB,Huobi Global,210.8,10078.35,0,6.399,6.399
OKB,HitBTC,0.2011,9.62,0,0,0
OKB,ZT,2.00E-08,0,0,0,0
OKB,BitMart,0,0,0,0,0
OKB,CoinEx,0,0,0,0,0
OKB,FTX,0,0,0,0,0
MATIC,Binance,395614041,460969481,-10567288,70373388,104426856
MATIC,KuCoin,24901876,29015666,410917,1524474,122368
MATIC,Crypto.com Exchange,24639076,28709451,57026.91,61562.74,-73958514
MATIC,Bitfinex,17516206,20409883,-375722,-1601349,-3044012
MATIC,Binance.US,8823071,10280642,-219363,-282495,-5845728
MATIC,OKX(OKEx),7952266,9265981,2668090,3982006,3956253
MATIC,Bybit,6628255,7723243,373390,593482,-42686.62
MATIC,Gemini,5187935,6044982,-96122.57,-477514,32579.53
MATIC,CoinSwitch,5183509,6039824,0,1.00E-10,-98381.75
MATIC,Kraken,5000059,5826068,0,-5.00E-10,-5.00E-10
MATIC,Coinbase Pro,3039362,3541464,-1026257,-795210,489593
MATIC,gate.io,2531412,2949601,321452,483596,-676969
MATIC,Huobi Global,2438308,2841117,-162044,-310825,-1099500
MATIC,bitFlyer,2187842,2549273,-21767,34735,225721
MATIC,Poloniex,1830496,2132894,-945.05,-28784.04,-15671.97
MATIC,Indodax,1533673,1787036,-45215.7,-15745.76,200899
MATIC,MEXC Global,1235191,1439245,-372468,-315795,-96322.44
MATIC,Hotbit,567627,661400,0,0,-534.5
MATIC,Coinlist Pro,369340,430355,-266.46,-2975.89,77997.02
MATIC,ProBit Global,266187,310161,0,0,21.47
MATIC,AscendEX,260156,303134,18979.29,24036.61,134937
MATIC,Bitget,137104,159753,18017.27,36663.32,37445.96
MATIC,IDEX,95609.42,111404,0,0,0
MATIC,CoinEx,93152.52,108541,1093.19,1417.97,22002.24
MATIC,Bitrue,35924.19,41858.87,1940.11,-313135,30517.92
MATIC,WazirX,26395.85,30756.45,-75986.8,-78465.17,-96628.54
MATIC,CEX.IO,24832.41,28934.73,-25100.11,-34151.4,-15662.93
MATIC,LATOKEN,10000,11652,0,0,0
MATIC,WhiteBIT,7405.45,8628.83,6017.37,4875.69,2363.51
