ticker_name,ticker_url,ticker_exchange_name,ticker_exchange_tokenbalance,ticker_exchange_value,ticker_exchange_selection1,ticker_exchange_sevendaychange,ticker_exchange_threedaychange
10 MATIC,https://www.coincarp.com/currencies/matictoken/,OKX(OKEx),"7,952,266 MATIC","$9,265,981 ","+2,668,090 MATIC","+3,982,006 MATIC","+3,956,253 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,Bybit,"6,628,255 MATIC","$7,723,243 ","+373,390 MATIC","+593,482 MATIC","-42,686.62 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,Gemini,"5,187,935 MATIC","$6,044,982 ","-96,122.57 MATIC","-477,514 MATIC","+32,579.53 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,CoinSwitch,"5,183,509 MATIC","$6,039,824 ",0 MATIC,+0.0000000001 MATIC,"-98,381.75 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,Kraken,"5,000,059 MATIC","$5,826,068 ",0 MATIC,-0.0000000005 MATIC,-0.0000000005 MATIC
10 MATIC,https://www.coincarp.com/currencies/matictoken/,Coinbase Pro,"3,039,362 MATIC","$3,541,464 ","-1,026,257 MATIC","-795,210 MATIC","+489,593 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,gate.io,"2,531,412 MATIC","$2,949,601 ","+321,452 MATIC","+483,596 MATIC","-676,969 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,Huobi Global,"2,438,308 MATIC","$2,841,117 ","-162,044 MATIC","-310,825 MATIC","-1,099,500 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,bitFlyer,"2,187,842 MATIC","$2,549,273 ","-21,767 MATIC","+34,735 MATIC","+225,721 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,Poloniex,"1,830,496 MATIC","$2,132,894 ",-945.05 MATIC,"-28,784.04 MATIC","-15,671.97 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,Indodax,"1,533,673 MATIC","$1,787,036 ","-45,215.7 MATIC","-15,745.76 MATIC","+200,899 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,MEXC Global,"1,235,191 MATIC","$1,439,245 ","-372,468 MATIC","-315,795 MATIC","-96,322.44 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,Hotbit,"567,627 MATIC","$661,400 ",0 MATIC,MATIC,-534.5 MATIC
10 MATIC,https://www.coincarp.com/currencies/matictoken/,Coinlist Pro,"369,340 MATIC","$430,355 ",-266.46 MATIC,"-2,975.89 MATIC","+77,997.02 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,ProBit Global,"266,187 MATIC","$310,161 ",0 MATIC,MATIC,+21.47 MATIC
10 MATIC,https://www.coincarp.com/currencies/matictoken/,AscendEX,"260,156 MATIC","$303,134 ","+18,979.29 MATIC","+24,036.61 MATIC","+134,937 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,Bitget,"137,104 MATIC","$159,753 ","+18,017.27 MATIC","+36,663.32 MATIC","+37,445.96 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,IDEX,"95,609.42 MATIC","$111,404 ",0 MATIC,MATIC,MATIC
10 MATIC,https://www.coincarp.com/currencies/matictoken/,CoinEx,"93,152.52 MATIC","$108,541 ","+1,093.19 MATIC","+1,417.97 MATIC","+22,002.24 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,Bitrue,"35,924.19 MATIC","$41,858.87 ","+1,940.11 MATIC","-313,135 MATIC","+30,517.92 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,WazirX,"26,395.85 MATIC","$30,756.45 ","-75,986.8 MATIC","-78,465.17 MATIC","-96,628.54 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,CEX.IO,"24,832.41 MATIC","$28,934.73 ","-25,100.11 MATIC","-34,151.4 MATIC","-15,662.93 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,LATOKEN,"10,000 MATIC","$11,652 ",0 MATIC,MATIC,MATIC
10 MATIC,https://www.coincarp.com/currencies/matictoken/,WhiteBIT,"7,405.45 MATIC","$8,628.83 ","+6,017.37 MATIC","+4,875.69 MATIC","+2,363.51 MATIC"
10 MATIC,https://www.coincarp.com/currencies/matictoken/,Korbit,"6,136.1 MATIC","$7,149.78 ",0 MATIC,MATIC,--
11 SOL,https://www.coincarp.com/currencies/solana/,,,,,,
12 DOT,https://www.coincarp.com/currencies/polkadot100/,Binance,"8,202,856 DOT","$55,351,233 ","+11,107.18 DOT","-10,335.55 DOT","+58,817.05 DOT"
12 DOT,https://www.coincarp.com/currencies/polkadot100/,gate.io,830.81 DOT,"$5,606.20 ",0 DOT,DOT,DOT
13 LTC,https://www.coincarp.com/currencies/litecoin/,Binance,"320,685 LTC","$30,981,955 ",+299.76 LTC,+325.68 LTC,"+2,877.26 LTC"
13 LTC,https://www.coincarp.com/currencies/litecoin/,gate.io,50.04 LTC,"$4,834.89 ",0 LTC,LTC,LTC
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,Binance,"6,108,344,515 BUSD","$6,112,620,356 ","-72,847,730 BUSD","-1,122,765,042 BUSD","-2,228,719,991 BUSD"
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,Bitget,"9,298,679 BUSD","$9,305,189 ","+1,055.21 BUSD","+51,049.35 BUSD","+5,156,312 BUSD"
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,Binance.US,"6,724,680 BUSD","$6,729,388 ","+2,337.89 BUSD","+60,024.56 BUSD","-1,406,847 BUSD"
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,Bybit,"3,556,274 BUSD","$3,558,764 ","+120,527 BUSD","+227,659 BUSD","-782,644 BUSD"
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,KuCoin,"3,372,443 BUSD","$3,374,804 ","+115,232 BUSD","+144,538 BUSD","-409,153 BUSD"
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,Coinbase Pro,"1,195,528 BUSD","$1,196,365 ","+2,877.67 BUSD","+11,363.76 BUSD","+19,839.65 BUSD"
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,Crypto.com Exchange,"510,559 BUSD","$510,917 ",+202.27 BUSD,+460.99 BUSD,"-2,805,195 BUSD"
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,MEXC Global,"373,637 BUSD","$373,898 ","+97,041.14 BUSD","+22,613.6 BUSD","+97,087.72 BUSD"
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,Poloniex,"286,368 BUSD","$286,569 ","-10,001.71 BUSD","-8,815.64 BUSD","-11,990.81 BUSD"
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,Gemini,"220,485 BUSD","$220,640 ","+1,812.79 BUSD","+1,144.53 BUSD","-110,208 BUSD"
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,Hotbit,"36,958.3 BUSD","$36,984.17 ",0 BUSD,BUSD,BUSD
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,Coinlist Pro,"32,369.4 BUSD","$32,392.06 ",0 BUSD,BUSD,BUSD
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,WazirX,"22,317.5 BUSD","$22,333.12 ",0 BUSD,"+11,048.24 BUSD","-17,791.66 BUSD"
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,OKX(OKEx),"17,064.05 BUSD","$17,075.99 ",0 BUSD,BUSD,BUSD
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,AscendEX,"15,987.99 BUSD","$15,999.19 ","+4,996 BUSD","+4,996 BUSD","+4,957.15 BUSD"
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,CEX.IO,"4,544.33 BUSD","$4,547.51 ",0 BUSD,-148 BUSD,"-91,756.32 BUSD"
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,gate.io,"1,466.76 BUSD","$1,467.79 ","-5,012,689 BUSD","-22,687,325 BUSD","-595,745 BUSD"
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,Bilaxy,205 BUSD,$205.14 ,0 BUSD,BUSD,BUSD
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,Kraken,49.72 BUSD,$49.76 ,0 BUSD,--,--
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,HitBTC,2.402 BUSD,$2.40 ,0 BUSD,BUSD,BUSD
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,BitMEX,0.1274 BUSD,$0.13 ,0 BUSD,BUSD,BUSD
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,ZT,0.00000002 BUSD,$0.00 ,0 BUSD,BUSD,BUSD
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,BTSE,0 BUSD,$0 ,0 BUSD,BUSD,BUSD
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,FTX,0 BUSD,$0 ,0 BUSD,BUSD,BUSD
14 BUSD,https://www.coincarp.com/currencies/binanceusd/,FTX US,0 BUSD,$0 ,0 BUSD,BUSD,BUSD
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Binance,"87,063,748,390,671 SHIB","$982,949,719 ","+112,729,950,426 SHIB","+259,184,716,952 SHIB","+1,117,613,867,136 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,OKX(OKEx),"10,973,982,497,065 SHIB","$123,896,262 ","+149,702,873,211 SHIB","+95,037,330,639 SHIB","+930,629,185,469 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Crypto.com Exchange,"9,379,377,094,451 SHIB","$105,893,167 ","-52,664,538,204 SHIB","-155,093,502,349 SHIB","-45,439,884,665,390 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,gate.io,"6,297,209,810,997 SHIB","$71,095,498 ","+7,967,307,865 SHIB","+25,877,618,897 SHIB","+40,708,146,878 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,KuCoin,"4,498,381,306,459 SHIB","$50,786,724 ","-26,517,190,537 SHIB","+1,732,110,716 SHIB","+5,712,055,597 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Binance.US,"3,341,682,885,333 SHIB","$37,727,599 ","-6,415,094,663 SHIB","+6,242,866,591 SHIB","-85,177,170,147 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Huobi Global,"1,813,138,134,654 SHIB","$20,470,329 ",0 SHIB,SHIB,"-3,258,928,588 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Indodax,"1,131,657,258,623 SHIB","$12,776,410 ","-5,091,649,284 SHIB","-1,211,070,337 SHIB","-13,741,770,906 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,CoinSwitch,"951,237,546,869 SHIB","$10,739,471 ",0 SHIB,"-921,160,349 SHIB","-921,160,349 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Bybit,"735,782,814,363 SHIB","$8,306,987 ","+5,674,262,737 SHIB","+26,520,655,590 SHIB","+211,313,242,685 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Coinbase Pro,"598,886,329,950 SHIB","$6,761,426 ","-5,293,842,170 SHIB","+46,034,577,932 SHIB","+140,194,903,694 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Poloniex,"589,410,210,906 SHIB","$6,654,441 ","-19,247,383 SHIB","-2,189,546,368 SHIB","-2,704,821,761 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Gemini,"340,030,526,961 SHIB","$3,838,944 ","-2,235,731,029 SHIB","+5,423,898,655 SHIB","+8,431,113,029 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,bitFlyer,"239,739,578,518 SHIB","$2,706,659 ","+3,186,979,596 SHIB","+51,885,797,409 SHIB",--
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Korbit,"148,391,604,707 SHIB","$1,675,341 ","-770,923,396 SHIB","-1,595,449,082 SHIB","-6,282,900,620 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Hotbit,"115,152,748,014 SHIB","$1,300,074 ","-235,500,000 SHIB","-6,656,789,694 SHIB","-53,280,042,431 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Bitfinex,"109,670,177,925 SHIB","$1,238,176 ","-597,933,211 SHIB","-1,695,366,537 SHIB","-3,844,727,096 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Bitget,"88,593,780,767 SHIB","$1,000,223 ","+3,073,905,809 SHIB","+4,987,728,824 SHIB","+13,122,667,390 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,MEXC Global,"34,966,436,327 SHIB","$394,771 ","+4,835,779,131 SHIB","+772,304,357 SHIB","-55,339,281,238 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Exmo,"34,588,888,814 SHIB","$390,508 ","-500,000,000 SHIB","+410,008,222 SHIB","-218,749,397 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,LATOKEN,"34,242,040,617 SHIB","$386,592 ",0 SHIB,"+221,689,238 SHIB","-995,730,772 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Coinw,"31,478,577,730 SHIB","$355,393 ",0 SHIB,SHIB,SHIB
15 SHIB,https://www.coincarp.com/currencies/shibainu/,ProBit Global,"29,907,127,451 SHIB","$337,651 ","+90,000,000 SHIB","-113,884,223 SHIB","-1,295,191,432 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,WhiteBIT,"27,761,996,668 SHIB","$313,432 ","-47,211,928 SHIB","+345,985,680 SHIB","-678,016,686 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Kuna,"26,608,657,319 SHIB","$300,411 ",0 SHIB,-0.000001 SHIB,-0.000001 SHIB
15 SHIB,https://www.coincarp.com/currencies/shibainu/,AscendEX,"20,086,335,783 SHIB","$226,774 ","+42,896,321 SHIB","-247,546,156 SHIB","-37,090,613 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Bitrue,"15,985,849,673 SHIB","$180,480 ","+2,233,280,542 SHIB","-172,153,145,874 SHIB","-162,281,762,153 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,WazirX,"7,534,678,023 SHIB","$85,066.51 ","-1,863,401,746 SHIB","-7,501,054,522 SHIB","-2,405,826,798 SHIB"
15 SHIB,https://www.coincarp.com/currencies/shibainu/,Bilaxy,"5,911,665,630 SHIB","$66,742.70 ",0 SHIB,+0.0000001 SHIB,+0.0000001 SHIB
15 SHIB,https://www.coincarp.com/currencies/shibainu/,CEX.IO,"3,365,985,893 SHIB","$38,001.98 ","-475,990,707 SHIB","+2,486,968,362 SHIB","+1,259,293,355 SHIB"
16 DAI,https://www.coincarp.com/currencies/dai/,Binance,"146,213,501 DAI","$146,374,336 ","-3,975,676 DAI","-3,746,002 DAI","-70,565,375 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Kraken,"17,646,042 DAI","$17,665,452 ","+775,483 DAI","+6,303,842 DAI","+3,846,140 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,OKX(OKEx),"7,875,853 DAI","$7,884,517 ","+149,210 DAI","-300,344 DAI","-4,775,297 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Crypto.com Exchange,"6,711,646 DAI","$6,719,028 ","+10,070.88 DAI","+1,631,926 DAI","+1,939,095 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,KuCoin,"5,484,209 DAI","$5,490,242 ","+162,390 DAI","+84,953.69 DAI","-628,151 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Coinbase Pro,"3,224,731 DAI","$3,228,278 ","-28,384.6 DAI","+24,983.45 DAI","+612,901 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Gemini,"2,161,611 DAI","$2,163,988 ","-295,653 DAI","-181,854 DAI","-2,166,432 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Huobi Global,"1,660,178 DAI","$1,662,004 ","+16,410.61 DAI","+66,986.71 DAI","-124,539,441 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Binance.US,"1,096,921 DAI","$1,098,127 ","+217,826 DAI","+70,049.42 DAI","-22,225.39 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Bitfinex,"947,269 DAI","$948,311 ","-71,754.19 DAI","-59,249.04 DAI","-320,696 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,gate.io,"908,262 DAI","$909,261 ","-205,988 DAI","+472,700 DAI","+385,246 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,MEXC Global,"804,573 DAI","$805,458 ","-9,131.23 DAI","-77,493.26 DAI","-188,849 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Bitget,"585,951 DAI","$586,596 ","+5,676.47 DAI","+107,993 DAI","-283,377 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Coinlist Pro,"248,864 DAI","$249,138 ","+104,000 DAI","+104,000 DAI","+101,438 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,AscendEX,"240,981 DAI","$241,246 ",0 DAI,-200 DAI,+981 DAI
16 DAI,https://www.coincarp.com/currencies/dai/,BitMEX,"216,800 DAI","$217,038 ",0 DAI,DAI,"-152,616 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Poloniex,"175,629 DAI","$175,822 ",-519.13 DAI,-510.84 DAI,"-9,839.64 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,WhiteBIT,"168,536 DAI","$168,721 ","-39,992.62 DAI","-2,661.47 DAI","+85,931.67 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Bybit,"162,182 DAI","$162,361 ","+20,190.89 DAI","-2,182,032 DAI","-6,170,139 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Kuna,"155,239 DAI","$155,410 ",0 DAI,DAI,DAI
16 DAI,https://www.coincarp.com/currencies/dai/,ProBit Global,"117,604 DAI","$117,733 ",+33.3 DAI,+33.3 DAI,+33.3 DAI
16 DAI,https://www.coincarp.com/currencies/dai/,Korbit,"91,861.88 DAI","$91,962.93 ",0 DAI,DAI,"+24,000 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Indodax,"49,590.52 DAI","$49,645.07 ","+2,886.56 DAI","-11,841.81 DAI","+5,605.36 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Coinone,"44,240.38 DAI","$44,289.04 ",0 DAI,+1 DAI,-146.76 DAI
16 DAI,https://www.coincarp.com/currencies/dai/,WOO X,"35,774.7 DAI","$35,814.05 ",0 DAI,DAI,--
16 DAI,https://www.coincarp.com/currencies/dai/,CEX.IO,"27,546.04 DAI","$27,576.34 ",0 DAI,"-1,490 DAI","+17,883.4 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Hotbit,"12,569.31 DAI","$12,583.13 ",0 DAI,DAI,"-9,942.33 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Exmo,"10,539.19 DAI","$10,550.78 ",+519.13 DAI,"+1,419.13 DAI","+1,419.13 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Bitrue,"7,376.73 DAI","$7,384.85 ",0 DAI,"+2,462.48 DAI","-8,763.13 DAI"
16 DAI,https://www.coincarp.com/currencies/dai/,Bibox,522.26 DAI,$522.84 ,0 DAI,DAI,-247.27 DAI
17 AVAX,https://www.coincarp.com/currencies/avalanche/,Binance,"629,346 AVAX","$11,987,913 ",-648.09 AVAX,"+15,695.14 AVAX","+58,364.67 AVAX"
17 AVAX,https://www.coincarp.com/currencies/avalanche/,gate.io,39.11 AVAX,$745 ,-1.263 AVAX,-1.263 AVAX,-2.139 AVAX
17 AVAX,https://www.coincarp.com/currencies/avalanche/,WOO X,10 AVAX,$190.48 ,0 AVAX,AVAX,--
18 TRX,https://www.coincarp.com/currencies/tron/,Binance,"175,852,081 TRX","$11,654,772 ",0 TRX,TRX,TRX
19 UNI,https://www.coincarp.com/currencies/uniswap/,Binance,"26,137,137 UNI","$164,878,288 ","+128,542 UNI","+3,208,978 UNI","+3,162,030 UNI"
19 UNI,https://www.coincarp.com/currencies/uniswap/,OKX(OKEx),"8,484,344 UNI","$53,520,943 ","-34,224.73 UNI","-34,156.32 UNI","+383,117 UNI"
19 UNI,https://www.coincarp.com/currencies/uniswap/,Kraken,"2,111,022 UNI","$13,316,748 ",0 UNI,-0.0000000001 UNI,-0.0000000001 UNI
19 UNI,https://www.coincarp.com/currencies/uniswap/,Huobi Global,"799,377 UNI","$5,042,634 ","+134,977 UNI","+95,529.96 UNI","-20,231.13 UNI"
19 UNI,https://www.coincarp.com/currencies/uniswap/,Bitfinex,"592,033 UNI","$3,734,668 ","+13,859.71 UNI","+47,373.55 UNI","+27,703.04 UNI"
19 UNI,https://www.coincarp.com/currencies/uniswap/,Bybit,"566,431 UNI","$3,573,165 ","+12,811.28 UNI","+78,630.21 UNI","+110,535 UNI"
19 UNI,https://www.coincarp.com/currencies/uniswap/,gate.io,"490,831 UNI","$3,096,265 ","+5,271.19 UNI","+5,908.71 UNI","-1,500.49 UNI"
19 UNI,https://www.coincarp.com/currencies/uniswap/,Gemini,"476,606 UNI","$3,006,531 ","+39,517.57 UNI","+19,724.42 UNI","+27,859.79 UNI"
19 UNI,https://www.coincarp.com/currencies/uniswap/,Coinbase Pro,"397,215 UNI","$2,505,713 ","+157,949 UNI","+89,646.22 UNI","-25,766.13 UNI"
19 UNI,https://www.coincarp.com/currencies/uniswap/,Crypto.com Exchange,"282,731 UNI","$1,783,524 ","-1,503.88 UNI","-6,410.15 UNI","-398,976 UNI"
19 UNI,https://www.coincarp.com/currencies/uniswap/,KuCoin,"254,725 UNI","$1,606,857 ","-2,710.75 UNI","+2,324.1 UNI","-4,650.8 UNI"
19 UNI,https://www.coincarp.com/currencies/uniswap/,Binance.US,"206,799 UNI","$1,304,533 ","+3,753.57 UNI","+23,746.44 UNI","-1,975.76 UNI"
19 UNI,https://www.coincarp.com/currencies/uniswap/,Coinone,"89,488.92 UNI","$564,514 ",-3.828 UNI,-8.405 UNI,"+46,371.78 UNI"
19 UNI,https://www.coincarp.com/currencies/uniswap/,Indodax,"83,882.56 UNI","$529,147 ",-453.11 UNI,+47.05 UNI,+428.46 UNI
19 UNI,https://www.coincarp.com/currencies/uniswap/,CoinSwitch,"82,337.71 UNI","$519,402 ",0 UNI,UNI,"-1,632.72 UNI"
19 UNI,https://www.coincarp.com/currencies/uniswap/,Poloniex,"79,062.79 UNI","$498,743 ",0 UNI,+383.7 UNI,+115.91 UNI
19 UNI,https://www.coincarp.com/currencies/uniswap/,Korbit,"73,902.6 UNI","$466,192 ",-4.481 UNI,-7.5 UNI,-7.5 UNI
19 UNI,https://www.coincarp.com/currencies/uniswap/,Bitget,"64,991.37 UNI","$409,978 ","+3,568.32 UNI","+11,442.94 UNI","+14,909.46 UNI"
19 UNI,https://www.coincarp.com/currencies/uniswap/,CEX.IO,"43,744.28 UNI","$275,947 ","-1,599 UNI","-3,195.93 UNI",-830.94 UNI
19 UNI,https://www.coincarp.com/currencies/uniswap/,Coinlist Pro,"25,568.34 UNI","$161,290 ",0 UNI,-17.35 UNI,"-1,243.44 UNI"
19 UNI,https://www.coincarp.com/currencies/uniswap/,MEXC Global,"25,524.21 UNI","$161,011 ","-1,445.65 UNI","+6,570.61 UNI","+9,458.28 UNI"
19 UNI,https://www.coincarp.com/currencies/uniswap/,Kuna,"17,830.09 UNI","$112,475 ",0 UNI,UNI,UNI
19 UNI,https://www.coincarp.com/currencies/uniswap/,AscendEX,"17,531.47 UNI","$110,592 ",-95.84 UNI,-235.35 UNI,-228.6 UNI
19 UNI,https://www.coincarp.com/currencies/uniswap/,Bitrue,"15,203.09 UNI","$95,904.14 ",0 UNI,+26.04 UNI,+222.95 UNI
19 UNI,https://www.coincarp.com/currencies/uniswap/,ProBit Global,"7,883.27 UNI","$49,729.24 ",0 UNI,UNI,UNI
19 UNI,https://www.coincarp.com/currencies/uniswap/,LATOKEN,"6,187 UNI","$39,028.83 ",0 UNI,UNI,UNI
19 UNI,https://www.coincarp.com/currencies/uniswap/,ZB,"5,701.47 UNI","$35,966.06 ",0 UNI,UNI,UNI
19 UNI,https://www.coincarp.com/currencies/uniswap/,Hotbit,"4,070.08 UNI","$25,674.92 ",0 UNI,UNI,-88.08 UNI
19 UNI,https://www.coincarp.com/currencies/uniswap/,HitBTC,"3,944.06 UNI","$24,879.92 ",0 UNI,UNI,UNI
19 UNI,https://www.coincarp.com/currencies/uniswap/,WazirX,"3,122.04 UNI","$19,694.45 ",0 UNI,UNI,"-1,864.74 UNI"
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,Binance,"2,910.73 WBTC","$88,788,774 ",-359.75 WBTC,-266.7 WBTC,"-1,898.64 WBTC"
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,gate.io,"1,823.83 WBTC","$55,634,032 ",-8.932 WBTC,-8.232 WBTC,-0.219 WBTC
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,Crypto.com Exchange,167.25 WBTC,"$5,101,915 ",-4.742 WBTC,+27.85 WBTC,-89.61 WBTC
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,Coinbase Pro,84.44 WBTC,"$2,575,831 ",-20.29 WBTC,-135.52 WBTC,-79.37 WBTC
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,OKX(OKEx),77.76 WBTC,"$2,372,158 ",-3.392 WBTC,+2.279 WBTC,-2.396 WBTC
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,Bitfinex,68.87 WBTC,"$2,101,013 ",-4.92 WBTC,+0.4645 WBTC,-18.21 WBTC
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,Binance.US,22.88 WBTC,"$698,207 ",+0.233 WBTC,-0.1191 WBTC,-3.334 WBTC
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,KuCoin,22.22 WBTC,"$677,835 ",-1.351 WBTC,+0.9629 WBTC,-9.424 WBTC
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,Poloniex,22.05 WBTC,"$672,855 ",+0.0009 WBTC,+0.04925 WBTC,-1.026 WBTC
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,MEXC Global,14.85 WBTC,"$453,028 ",-0.9934 WBTC,+7.883 WBTC,+0.5217 WBTC
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,Bybit,8.93 WBTC,"$272,406 ",-1.362 WBTC,-12.59 WBTC,-9.216 WBTC
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,Bitget,7.514 WBTC,"$229,212 ",+2.539 WBTC,+2.278 WBTC,-2.716 WBTC
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,Huobi Global,3.489 WBTC,"$106,439 ",-0.02896 WBTC,+0.08695 WBTC,+0.1018 WBTC
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,Korbit,3.449 WBTC,"$105,208 ",0 WBTC,WBTC,WBTC
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,Bitrue,2.779 WBTC,"$84,765.65 ",0 WBTC,+2.157 WBTC,+2.738 WBTC
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,ProBit Global,2.711 WBTC,"$82,711.26 ",0 WBTC,WBTC,WBTC
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,Coinlist Pro,2.523 WBTC,"$76,971.60 ",+0.154 WBTC,+1.759 WBTC,+1.849 WBTC
20 WBTC,https://www.coincarp.com/currencies/wrapped-bitcoin/,BTSE,1.791 WBTC,"$54,626.47 ",0 WBTC,WBTC,WBTC
