ticker_name,ticker_url,exchange_name,exchange_token_balance (cryptocurrency),exchange_value,selection1 (cryptocurrency),seven_day_change (cryptocurrency),three_day_change (cryptocurrency)
ETH,https://www.coincarp.com/currencies/ethereum/,BitMEX,13055.71,"$27,511,006 ",382.42,752.84,253.72
ETH,https://www.coincarp.com/currencies/ethereum/,MEXC Global,13000.79,"$27,395,283 ",-196.09,675.08,-1254.47
ETH,https://www.coincarp.com/currencies/ethereum/,Poloniex,11012.88,"$23,206,341 ",-454.27,-391.09,-3411.39
ETH,https://www.coincarp.com/currencies/ethereum/,YoBit,10025.23,"$21,125,179 ",-128.87,-60.34,1996.99
ETH,https://www.coincarp.com/currencies/ethereum/,BitZ,10001.08,"$21,074,288 ",0.0,0.0,0.0
ETH,https://www.coincarp.com/currencies/ethereum/,CoinSwitch,8923.86,"$18,804,370 ",-12.24,-12.27,-68.07
ETH,https://www.coincarp.com/currencies/ethereum/,Indodax,5729.62,"$12,073,465 ",-353.57,-354.67,-1137.4
ETH,https://www.coincarp.com/currencies/ethereum/,Phemex,5572.6,"$11,742,591 ",0.0,0.0,3499.99
ETH,https://www.coincarp.com/currencies/ethereum/,BigONE,4046.57,"$8,526,950 ",-1.481,-432.13,-808.33
USDT,https://www.coincarp.com/currencies/tether/,Binance,2703092503.0,"$2,704,173,740 ",-103723060.0,185334388.0,14742633.0
USDT,https://www.coincarp.com/currencies/tether/,OKX(OKEx),1584032065.0,"$1,584,665,678 ",21313474.0,121750683.0,726522161.0
USDT,https://www.coincarp.com/currencies/tether/,Bybit,948738131.0,"$949,117,626 ",-17900069.0,-34434988.0,47489972.0
USDT,https://www.coincarp.com/currencies/tether/,KuCoin,608805664.0,"$609,049,186 ",-7468798.0,5120233.0,47218663.0
USDT,https://www.coincarp.com/currencies/tether/,MEXC Global,379755841.0,"$379,907,743 ",8205738.0,16292226.0,88840271.0
USDT,https://www.coincarp.com/currencies/tether/,Bitfinex,293028302.0,"$293,145,514 ",-39135606.0,-184656077.0,-479715894.0
USDT,https://www.coincarp.com/currencies/tether/,gate.io,201809520.0,"$201,890,244 ",-3541274.0,-2376392.0,18161094.0
USDT,https://www.coincarp.com/currencies/tether/,Bitget,179867851.0,"$179,939,799 ",1112343.0,1671992.0,437782.0
USDT,https://www.coincarp.com/currencies/tether/,Huobi Global,153096988.0,"$153,158,227 ",10640214.0,34453152.0,48476126.0
USDT,https://www.coincarp.com/currencies/tether/,BitMEX,141023221.0,"$141,079,630 ",-1265444.0,-2975818.0,4774962.0
USDT,https://www.coincarp.com/currencies/tether/,Crypto.com Exchange,102492222.0,"$102,533,219 ",-8758149.0,19867352.0,28404502.0
USDT,https://www.coincarp.com/currencies/tether/,Bittrex,82345046.0,"$82,377,984 ",2018.0,10683.84,-8934099.0
USDT,https://www.coincarp.com/currencies/tether/,Okcoin,70702325.0,"$70,730,606 ",4328392.0,-14366826.0,28756476.0
USDT,https://www.coincarp.com/currencies/tether/,Phemex,46650075.0,"$46,668,735 ",0.0,0.0,-1000000.0
USDT,https://www.coincarp.com/currencies/tether/,Poloniex,26559267.0,"$26,569,891 ",-2585.84,599112.0,-1086151.0
USDT,https://www.coincarp.com/currencies/tether/,Binance.US,23932677.0,"$23,942,250 ",5615248.0,-11062049.0,1285449.0
USDT,https://www.coincarp.com/currencies/tether/,Coinbase Pro,14532249.0,"$14,538,062 ",-10753414.0,-383189.0,-1827881.0
USDT,https://www.coincarp.com/currencies/tether/,Coinlist Pro,11330007.0,"$11,334,539 ",33466.58,322662.0,-275179.0
USDT,https://www.coincarp.com/currencies/tether/,Indodax,11074688.0,"$11,079,118 ",1303500.0,2366457.0,2323693.0
USDT,https://www.coincarp.com/currencies/tether/,YoBit,5941017.0,"$5,943,394 ",-75133.07,22532.08,249274.0
USDT,https://www.coincarp.com/currencies/tether/,AscendEX,4830402.0,"$4,832,334 ",305255.0,184862.0,433381.0
USDT,https://www.coincarp.com/currencies/tether/,CoinSwitch,3332901.0,"$3,334,234 ",39185.56,130113.0,12101.43
USDT,https://www.coincarp.com/currencies/tether/,WhiteBIT,3319504.0,"$3,320,832 ",316812.0,2021448.0,-6194170.0
USDT,https://www.coincarp.com/currencies/tether/,Kuna,3277399.0,"$3,278,710 ",0.0,0.0,0.0
USDT,https://www.coincarp.com/currencies/tether/,BitZ,3072757.0,"$3,073,986 ",1009.0,5341.92,32950.38
USDT,https://www.coincarp.com/currencies/tether/,Gemini,3039098.0,"$3,040,313 ",364493.0,-2204226.0,-240237.0
USDT,https://www.coincarp.com/currencies/tether/,Coinw,3034132.0,"$3,035,346 ",304380.0,466113.0,2236661.0
USDT,https://www.coincarp.com/currencies/tether/,Bithumb,2984758.0,"$2,985,952 ",13117.0,69444.98,428355.0
USDT,https://www.coincarp.com/currencies/tether/,CoinEx,2592809.0,"$2,593,846 ",-189387.0,-696494.0,-8474993.0
USDT,https://www.coincarp.com/currencies/tether/,BigONE,2207734.0,"$2,208,617 ",48676.86,25673.62,457103.0
BNB,https://www.coincarp.com/currencies/binance-coin/,Binance,21268.56,"$7,007,352 ",2.605,14.43,12030.85
BNB,https://www.coincarp.com/currencies/binance-coin/,Binance.US,2113.08,"$696,199 ",0.4487,1.486,1375.92
BNB,https://www.coincarp.com/currencies/binance-coin/,gate.io,1228.67,"$404,809 ",0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,Crypto.com Exchange,116.87,"$38,506.81 ",0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,CoinExchange,73.09,"$24,081.85 ",0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,IDEX,25.22,"$8,309.06 ",0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,KuCoin,5.393,"$1,776.95 ",0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,Huobi Global,2.1,$691.88 ,0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,Binance JEX,2.0,$658.95 ,0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,Indodax,2.0,$658.94 ,0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,CoinEx,0.8132,$267.95 ,0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,Korbit,0.7,$230.62 ,0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,AscendEX,0.3665,$120.78 ,0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,BKEX,0.1615,$53.23 ,0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,Bitfinex,0.15,$49.42 ,0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,Kraken,0.15,$49.42 ,0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,OKX(OKEx),0.15,$49.42 ,0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,Poloniex,0.15,$49.42 ,0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,Coinbase Pro,0.103,$33.93 ,0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,MEXC Global,0.0501,$16.50 ,0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,Coinw,0.01628,$5.36 ,0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,Hotbit,0.000595,$0.20 ,0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,CREX24,0.000583,$0.19 ,0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,BigONE,9e-08,$0.00 ,0.0,0.0,0.0
BNB,https://www.coincarp.com/currencies/binance-coin/,OTCBTC,0.0,$0 ,0.0,0.0,0.0
USDC,https://www.coincarp.com/currencies/usdc/,Binance,1702022326.0,"$1,700,490,506 ",-101380992.0,-50025132.0,-3413324318.0
USDC,https://www.coincarp.com/currencies/usdc/,Crypto.com Exchange,320821962.0,"$320,533,222 ",-21948888.0,-26317303.0,-388209681.0
USDC,https://www.coincarp.com/currencies/usdc/,Coinbase Pro,272204574.0,"$271,959,590 ",241150420.0,60626822.0,9457104.0
USDC,https://www.coincarp.com/currencies/usdc/,Kraken,173675022.0,"$173,518,714 ",-4792993.0,-1332716.0,40291946.0
USDC,https://www.coincarp.com/currencies/usdc/,OKX(OKEx),146447433.0,"$146,315,630 ",-20055650.0,34676815.0,-214155149.0
USDC,https://www.coincarp.com/currencies/usdc/,KuCoin,68219503.0,"$68,158,106 ",-2562176.0,-2064699.0,-52236218.0
USDC,https://www.coincarp.com/currencies/usdc/,Bitget,45185876.0,"$45,145,208 ",-281837.0,-1439491.0,-6000961.0
USDC,https://www.coincarp.com/currencies/usdc/,MEXC Global,43836988.0,"$43,797,535 ",-187855.0,8105352.0,2261338.0
USDC,https://www.coincarp.com/currencies/usdc/,Huobi Global,21699388.0,"$21,679,858 ",1357755.0,2740384.0,-87051648.0
USDC,https://www.coincarp.com/currencies/usdc/,Bitfinex,21295193.0,"$21,276,027 ",363834.0,1424659.0,2937138.0
USDC,https://www.coincarp.com/currencies/usdc/,Bybit,15330807.0,"$15,317,009 ",-15050064.0,-13592571.0,-30193705.0
USDC,https://www.coincarp.com/currencies/usdc/,Okcoin,9152359.0,"$9,144,122 ",-143731.0,-8116550.0,-4958801.0
USDC,https://www.coincarp.com/currencies/usdc/,Binance.US,6450774.0,"$6,444,968 ",1356672.0,-4883210.0,-421949.0
USDC,https://www.coincarp.com/currencies/usdc/,Gemini,5972947.0,"$5,967,571 ",-1932552.0,-3348026.0,-14488162.0
USDC,https://www.coincarp.com/currencies/usdc/,Coinlist Pro,5607542.0,"$5,602,495 ",-31505.04,1628505.0,-13215254.0
USDC,https://www.coincarp.com/currencies/usdc/,Poloniex,4289316.0,"$4,285,456 ",-60448.22,-175186.0,-1567927.0
USDC,https://www.coincarp.com/currencies/usdc/,Phemex,3326581.0,"$3,323,587 ",0.0,0.0,-2000000.0
USDC,https://www.coincarp.com/currencies/usdc/,AscendEX,1542205.0,"$1,540,817 ",17869.46,775695.0,23847.67
USDC,https://www.coincarp.com/currencies/usdc/,Indodax,1148884.0,"$1,147,850 ",12629.56,21574.53,50299.47
USDC,https://www.coincarp.com/currencies/usdc/,CEX.IO,993838.0,"$992,943 ",-573761.0,-503226.0,-3437290.0
USDC,https://www.coincarp.com/currencies/usdc/,WhiteBIT,956296.0,"$955,436 ",762199.0,839963.0,491691.0
USDC,https://www.coincarp.com/currencies/usdc/,Kuna,881393.0,"$880,600 ",0.0,0.0,0.0
USDC,https://www.coincarp.com/currencies/usdc/,Bitrue,563804.0,"$563,296 ",-60699.12,-541865.0,75731.55
USDC,https://www.coincarp.com/currencies/usdc/,Remitano,474555.0,"$474,128 ",-212.81,17381.11,231298.0
USDC,https://www.coincarp.com/currencies/usdc/,WOO X,428220.0,"$427,835 ",-946878.0,-946878.0,0.0
USDC,https://www.coincarp.com/currencies/usdc/,ProBit Global,423480.0,"$423,099 ",-69.72,2488.78,-485225.0
USDC,https://www.coincarp.com/currencies/usdc/,Korbit,337718.0,"$337,414 ",-5861.76,38440.66,-55010.81
USDC,https://www.coincarp.com/currencies/usdc/,gate.io,290740.0,"$290,479 ",8727.51,16077.72,-37355492.0
USDC,https://www.coincarp.com/currencies/usdc/,Hotbit,177940.0,"$177,780 ",-241.01,-12056.07,-15886.48
USDC,https://www.coincarp.com/currencies/usdc/,HitBTC,172267.0,"$172,112 ",0.0,4130.0,4130.0
