name,symbol,rank,price (USD),oneday (%),oneweek (%),marketcap (USD),volume (USD),circulating_supply (Crypto),full_marketcap (USD),max_supply (Crypto),oneday_low (USD),oneday_high (USD),volume_marketcap (%),market_dominance (%),onemonth_ROI (%),price_change (USD)
Algorand,ALGO,39,0.19,1.57,18.32,1332841791.0,30237336.0,7116080039.0,1868000000.0,10000000000.0,0.18,0.19,0.02,0.14,-26.88,0.00
ApeCoin,APE,40,3.88,4.61,20.25,1173942000.0,41993606.0,302500000.0,3873200000.0,1000000000.0,3.64,3.91,0.04,0.12,-26.24,0.17
EOS,EOS,41,0.97,0.09,20.79,1050123349.0,88770058.0,1081263745.0,1051515008.0,,0.97,1.0,0.08,0.11,-7.89,0.00
Graph,GRT,42,0.11,1.79,20.78,1003787130.0,19642340.0,8836154321.0,1177593390.0,10366138997.0,0.11,0.11,0.02,0.1,-28.47,0.00
BitDAO,BIT,43,0.47,0.36,12.43,987135686.0,6526517.0,2090946169.0,4714000000.0,10000000000.0,0.47,0.48,0.01,0.1,-18.09,0.00
MultiversX(Elrond),EGLD,44,38.48,4.07,12.7,966538789.0,15311431.0,25117495.0,1206362133.0,31415926.0,36.49,38.63,0.02,0.1,-13.4,1.39
Decentraland,MANA,45,0.51,1.8,17.72,955000379.0,27498287.0,1855090092.0,1129153578.0,2195088605.0,0.5,0.52,0.03,0.1,-26.08,0.01
Aave,AAVE,46,66.55,1.91,13.9,937856895.0,27658393.0,14093193.0,1063475200.0,16000000.0,64.17,67.71,0.03,0.1,-16.0,1.14
Fantom,FTM,47,0.33,5.24,20.43,927635587.0,72611930.0,2783185082.0,1057910000.0,3175000000.0,0.31,0.34,0.08,0.09,-26.67,0.02
Tezos,XTZ,48,0.98,0.48,14.89,912576237.0,12065329.0,930251007.0,931263594.0,,0.96,1.0,0.01,0.09,-9.99,(0.01)
Theta,THETA,49,0.9,2.49,11.76,900800000.0,6196457.0,1000000000.0,901200000.0,1000000000.0,0.86,0.91,0.01,0.09,-16.81,0.02
Flow,FLOW,50,0.86,1.52,19.71,892168200.0,11944023.0,1036200000.0,1179887069.0,1378211739.0,0.84,0.88,0.01,0.09,-18.27,0.00
PaxDollar,USDP,51,1.0,5.03,0.14,875801046.0,37186017.0,878084065.0,875274195.0,,0.94,1.0,0.04,0.09,,0.02
AxieInfinity,AXS,52,7.18,0.68,19.33,817635577.0,19032986.0,113918073.0,1935198000.0,270000000.0,7.05,7.35,0.02,0.08,-31.35,0.03
KuCoinToken,KCS,53,8.28,0.94,4.13,807761247.0,866227.0,97512132.0,1652540000.0,200000000.0,8.16,8.32,0.0,0.08,,0.06
Stacks,STX,54,0.58,1.57,23.67,792893450.0,94242343.0,1360256391.0,1056076200.0,1818000000.0,0.58,0.62,0.12,0.08,,(0.01)
TheSandbox,SAND,55,0.52,0.37,18.71,783323184.0,50688419.0,1499470108.0,1567200000.0,3000000000.0,0.51,0.53,0.06,0.08,-30.29,0.00
Chiliz,CHZ,56,0.11,1.12,12.81,726401083.0,19328486.0,6713503543.0,961777777.0,8888888888.0,0.11,0.11,0.03,0.07,-21.89,0.00
LunaClassic,LUNC,57,0.0,1.6,17.59,710628074.0,28469361.0,5895860567061.0,829437815.0,6907376873996.0,0.0,0.0,0.04,0.07,-27.67,0.00
ImmutableX,IMX,58,0.79,1.04,25.61,688526152.0,15959932.0,868583515.0,1581200000.0,2000000000.0,0.76,0.83,0.02,0.07,-25.79,(0.01)
Klaytn,KLAY,59,0.22,3.47,7.24,675683576.0,23600473.0,3100888372.0,2345239421.0,10782709984.0,0.21,0.23,0.04,0.07,,0.01
Maker,MKR,60,672.1,0.58,29.1,657065795.0,90957409.0,977631.0,673394693.0,1005577.0,659.29,732.41,0.14,0.07,-8.45,(10.40)
PancakeSwap,CAKE,61,3.49,0.67,7.46,656389665.0,7531652.0,187904977.0,2617875000.0,750000000.0,3.45,3.52,0.01,0.07,-16.36,0.02
Neo,NEO,62,9.28,0.1,22.11,654304088.0,21743116.0,70538831.0,925090000.0,100000000.0,9.16,9.62,0.03,0.07,,(0.04)
RocketPool,RPL,63,33.65,6.33,14.33,645614528.0,5680291.0,19185084.0,641652808.0,19185084.0,31.03,34.48,0.01,0.07,-27.75,1.76
Curve,CRV,64,0.86,6.22,10.93,642112276.0,36747491.0,746468585.0,2834990905.0,3303030299.0,0.79,0.86,0.06,0.07,-10.53,0.05
HuobiToken,HT,65,3.83,2.14,23.78,622213775.0,17767148.0,162500333.0,1910250000.0,500000000.0,3.69,4.07,0.03,0.06,-25.62,(0.09)
BitcoinSV,BSV,66,32.99,2.0,14.04,620972347.0,15081228.0,18822876.64,690557700.0,21000000.0,32.14,33.75,0.02,0.06,-20.46,0.47
GeminiDollar,GUSD,67,1.0,2.48,3.08,607596227.0,2391755.0,607049883.0,604600508.0,,0.97,1.01,0.0,0.06,-3.1,0.01
Optimism,OP,68,1.86,0.94,27.22,587058385.0,153284611.0,314844141.0,8022998908.0,4294967296.0,1.77,1.93,0.26,0.06,-24.02,0.02
BitTorrent(new),BTT,69,0.0,1.39,12.37,575178857.0,8964352.0,951421714286000.0,598772790.0,990000000000000.0,0.0,0.0,0.02,0.06,-13.41,0.00
MinaProtocol,MINA,70,0.63,6.73,23.84,547241951.0,31660125.0,865204667.0,637992161.0,,0.58,0.64,0.06,0.06,-39.66,0.04
FraxShare,FXS,71,7.28,2.47,26.08,542494634.0,33132643.0,74477572.0,725760000.0,100000000.0,6.88,7.85,0.06,0.05,-30.75,0.17
Synthetix,SNX,72,2.14,4.03,34.0,542603072.0,26762032.0,253339748.0,670286789.0,313995779.0,2.0,2.22,0.05,0.05,-12.71,0.09
IOTA,MIOTA,73,0.19,3.85,11.06,531724143.0,6848829.0,2779530283.0,532002096.0,2779530283.0,0.18,0.2,0.01,0.05,-17.94,0.01
GatechainToken,GT,74,4.54,2.57,7.74,523757598.0,500604.0,115377816.0,1356720000.0,,4.43,4.61,0.0,0.05,,0.09
PAXGold,PAXG,75,1917.47,1.34,3.97,520140582.0,22815815.0,271264.0,520894696.0,,1897.01,1972.56,0.04,0.05,,(30.23)
RenderToken,RNDR,76,0.98,3.85,20.97,518006188.0,26323803.0,531016083.0,521784839.0,536870912.0,0.92,1.0,0.05,0.05,-30.69,0.03
Dash,DASH,77,46.56,1.8,26.5,517732024.0,50885385.0,11120725.0,878653440.0,18900000.0,45.59,47.05,0.1,0.05,-23.44,0.35
TrustWallet,TWT,78,1.24,10.48,4.97,516395886.0,34301001.0,416649900.0,1240800000.0,1000000000.0,1.1,1.28,0.07,0.05,-13.57,0.12
eCash,XEC,79,0.0,0.26,15.55,514979629.0,3039984.0,19331067173303.0,557340000.0,21000000000000.0,0.0,0.0,0.01,0.05,-24.04,0.00
GMX,GMX,80,59.97,1.6,16.7,512116734.0,29134356.0,8539805.0,793231125.0,13250000.0,57.87,61.7,0.06,0.05,-6.91,0.66
Zcash,ZEC,81,31.18,1.75,19.24,509143185.0,20437032.0,16328269.0,654290700.0,21000000.0,30.39,31.49,0.04,0.05,-31.91,0.59
Osmosis,OSMO,82,0.8,4.31,6.63,423694258.0,2143355.0,530945186.0,797300000.0,1000000000.0,0.76,0.8,0.01,0.04,-21.09,0.03
SingularityNET,AGIX,83,0.32,4.35,28.98,405108104.0,83191459.0,1260840662.0,640200000.0,2000000000.0,0.29,0.33,0.2,0.04,-25.57,0.01
XDCNetwork,XDC,84,0.03,2.43,0.2,402112732.0,756517.0,13821156666.0,2911300000.0,100000000000.0,0.03,0.03,0.0,0.04,,0.00
THORChain,RUNE,85,1.21,2.99,19.1,401488374.0,11405143.0,330688061.0,604250000.0,500000000.0,1.17,1.23,0.03,0.04,-28.83,0.03
Conflux,CFX,86,0.15,3.02,28.35,389045335.0,96675273.0,2653788097.0,769556351.0,,0.13,0.15,0.25,0.04,,0.00
Kava,KAVA,87,0.94,5.87,15.62,384970256.0,52408027.0,410284831.0,385626712.0,,0.86,0.94,0.14,0.04,,0.05
