exchange_id,ticker_id,exchange_token_balance (cryptocurrency),exchange_value (USD),one_day_change (cryptocurrency),seven_day_change (cryptocurrency),thirty_day_change (cryptocurrency)
42,10005,9152359,9144122,-143731,-8116550,-4958801
36,10005,6450774,6444968,1356672,-4883210,-421949
31,10005,5972947,5967571,-1932552,-3348026,-14488162
43,10005,5607542,5602495,-31505.04,1628505,-13215254
9,10005,4289316,4285456,-60448.22,-175186,-1567927
17,10005,3326581,3323587,0,0,-2000000
44,10005,1542205,1540817,17869.46,775695,23847.67
41,10005,1148884,1147850,12629.56,21574.53,50299.47
53,10005,993838,992943,-573761,-503226,-3437290
45,10005,956296,955436,762199,839963,491691
46,10005,881393,880600,0,0,0
54,10005,563804,563296,-60699.12,-541865,75731.55
55,10005,474555,474128,-212.81,17381.11,231298
24,10005,428220,427835,-946878,-946878,0
56,10005,423480,423099,-69.72,2488.78,-485225
14,10005,337718,337414,-5861.76,38440.66,-55010.81
33,10005,290740,290479,8727.51,16077.72,-37355492
50,10005,177940,177780,-241.01,-12056.07,-15886.48
57,10005,172267,172112,0,4130,4130
1,10006,103976086,54670626,-12133.07,-281328,4936652
33,10006,7877.06,4141.75,0,0,0
1,10007,30189916,13268468,1710251,1785747,5466985
33,10007,8735.65,3839.31,0,0,-115.11
1,10010,133568520,11875042,5092450,24963809,54837678
16,10010,4284116,380883,1747592,3761339,555141
33,10010,145300,12918.11,0,-6416.64,-8470.87
3,10008,8114711,387955415,-662.06,718.86,3600015
33,10008,29380.7,1404659,695.38,692.35,2569.78
41,10008,6791.2,324679,0,0,-5.045
50,10008,4929.71,235684,0,0,0
2,10008,4637.72,221724,0,0,0
44,10008,2411.65,115298,0,0,0
9,10008,521.61,24937.91,0,0,0
16,10008,496.93,23757.97,-0.8407,5.538,-280.77
56,10008,288.89,13811.92,0,0,0
8,10008,210.8,10078.35,0,6.399,6.399
57,10008,0.2011,9.62,0,0,0
58,10008,2.00E-08,0,0,0,0
59,10008,0,0,0,0,0
47,10008,0,0,0,0,0
60,10008,0,0,0,0,0
1,10009,395614041,460969481,-10567288,70373388,104426856
10,10009,24901876,29015666,410917,1524474,122368
5,10009,24639076,28709451,57026.91,61562.74,-73958514
2,10009,17516206,20409883,-375722,-1601349,-3044012
36,10009,8823071,10280642,-219363,-282495,-5845728
3,10009,7952266,9265981,2668090,3982006,3956253
6,10009,6628255,7723243,373390,593482,-42686.62
31,10009,5187935,6044982,-96122.57,-477514,32579.53
18,10009,5183509,6039824,0,1.00E-10,-98381.75
13,10009,5000059,5826068,0,-5.00E-10,-5.00E-10
27,10009,3039362,3541464,-1026257,-795210,489593
33,10009,2531412,2949601,321452,483596,-676969
8,10009,2438308,2841117,-162044,-310825,-1099500
35,10009,2187842,2549273,-21767,34735,225721
9,10009,1830496,2132894,-945.05,-28784.04,-15671.97
41,10009,1533673,1787036,-45215.7,-15745.76,200899
16,10009,1235191,1439245,-372468,-315795,-96322.44
50,10009,567627,661400,0,0,-534.5
43,10009,369340,430355,-266.46,-2975.89,77997.02
56,10009,266187,310161,0,0,21.47
44,10009,260156,303134,18979.29,24036.61,134937
12,10009,137104,159753,18017.27,36663.32,37445.96
38,10009,95609.42,111404,0,0,0
47,10009,93152.52,108541,1093.19,1417.97,22002.24
54,10009,35924.19,41858.87,1940.11,-313135,30517.92
61,10009,26395.85,30756.45,-75986.8,-78465.17,-96628.54
53,10009,24832.41,28934.73,-25100.11,-34151.4,-15662.93
62,10009,10000,11652,0,0,0
45,10009,7405.45,8628.83,6017.37,4875.69,2363.51
14,10009,6136.1,7149.78,0,0,0
63,10013,,,,,
1,10012,8202856,55351233,11107.18,-10335.55,58817.05
33,10012,830.81,5606.2,0,0,0
1,10018,320685,30981955,299.76,325.68,2877.26
33,10018,50.04,4834.89,0,0,0
1,10011,6108344515,6112620356,-72847730,-1122765042,-2228719991
12,10011,9298679,9305189,1055.21,51049.35,5156312
36,10011,6724680,6729388,2337.89,60024.56,-1406847
6,10011,3556274,3558764,120527,227659,-782644
10,10011,3372443,3374804,115232,144538,-409153
27,10011,1195528,1196365,2877.67,11363.76,19839.65
5,10011,510559,510917,202.27,460.99,-2805195
16,10011,373637,373898,97041.14,22613.6,97087.72
9,10011,286368,286569,-10001.71,-8815.64,-11990.81
31,10011,220485,220640,1812.79,1144.53,-110208
50,10011,36958.3,36984.17,0,0,0
43,10011,32369.4,32392.06,0,0,0
61,10011,22317.5,22333.12,0,11048.24,-17791.66
3,10011,17064.05,17075.99,0,0,0
44,10011,15987.99,15999.19,4996,4996,4957.15
53,10011,4544.33,4547.51,0,-148,-91756.32
33,10011,1466.76,1467.79,-5012689,-22687325,-595745
64,10011,205,205.14,0,0,0
13,10011,49.72,49.76,0,0,0
57,10011,2.402,2.4,0,0,0
11,10011,0.1274,0.13,0,0,0
58,10011,2.00E-08,0,0,0,0
65,10011,0,0,0,0,0
60,10011,0,0,0,0,0
66,10011,0,0,0,0,0
1,10015,8.71E+13,982949719,1.13E+11,2.59E+11,1.12E+12
3,10015,1.1E+13,123896262,1.5E+11,95037330639,9.31E+11
5,10015,9.38E+12,105893167,-52664538204,-1.55E+11,-4.54E+13
33,10015,6.3E+12,71095498,7967307865,25877618897,40708146878
10,10015,4.5E+12,50786724,-26517190537,1732110716,5712055597
36,10015,3.34E+12,37727599,-6415094663,6242866591,-85177170147
8,10015,1.81E+12,20470329,0,0,-3258928588
41,10015,1.13E+12,12776410,-5091649284,-1211070337,-13741770906
18,10015,9.51E+11,10739471,0,-921160349,-921160349
6,10015,7.36E+11,8306987,5674262737,26520655590,2.11E+11
27,10015,5.99E+11,6761426,-5293842170,46034577932,1.4E+11
9,10015,5.89E+11,6654441,-19247383,-2189546368,-2704821761
31,10015,3.4E+11,3838944,-2235731029,5423898655,8431113029
35,10015,2.4E+11,2706659,3186979596,51885797409,0
14,10015,1.48E+11,1675341,-770923396,-1595449082,-6282900620
50,10015,1.15E+11,1300074,-235500000,-6656789694,-53280042431
2,10015,1.1E+11,1238176,-597933211,-1695366537,-3844727096
12,10015,88593780767,1000223,3073905809,4987728824,13122667390
16,10015,34966436327,394771,4835779131,772304357,-55339281238
67,10015,34588888814,390508,-500000000,410008222,-218749397
62,10015,34242040617,386592,0,221689238,-995730772
25,10015,31478577730,355393,0,0,0
56,10015,29907127451,337651,90000000,-113884223,-1295191432
45,10015,27761996668,313432,-47211928,345985680,-678016686
46,10015,26608657319,300411,0,-1.00E-06,-1.00E-06
44,10015,20086335783,226774,42896321,-247546156,-37090613
54,10015,15985849673,180480,2233280542,-1.72E+11,-1.62E+11
61,10015,7534678023,85066.51,-1863401746,-7501054522,-2405826798
64,10015,5911665630,66742.7,0,1.00E-07,1.00E-07
53,10015,3365985893,38001.98,-475990707,2486968362,1259293355
1,10014,146213501,146374336,-3975676,-3746002,-70565375
13,10014,17646042,17665452,775483,6303842,3846140
3,10014,7875853,7884517,149210,-300344,-4775297
5,10014,6711646,6719028,10070.88,1631926,1939095
10,10014,5484209,5490242,162390,84953.69,-628151
27,10014,3224731,3228278,-28384.6,24983.45,612901
31,10014,2161611,2163988,-295653,-181854,-2166432
8,10014,1660178,1662004,16410.61,66986.71,-124539441
36,10014,1096921,1098127,217826,70049.42,-22225.39
2,10014,947269,948311,-71754.19,-59249.04,-320696
33,10014,908262,909261,-205988,472700,385246
16,10014,804573,805458,-9131.23,-77493.26,-188849
12,10014,585951,586596,5676.47,107993,-283377
43,10014,248864,249138,104000,104000,101438
44,10014,240981,241246,0,-200,981
11,10014,216800,217038,0,0,-152616
9,10014,175629,175822,-519.13,-510.84,-9839.64
45,10014,168536,168721,-39992.62,-2661.47,85931.67
6,10014,162182,162361,20190.89,-2182032,-6170139
46,10014,155239,155410,0,0,0
56,10014,117604,117733,33.3,33.3,33.3
14,10014,91861.88,91962.93,0,0,24000
41,10014,49590.52,49645.07,2886.56,-11841.81,5605.36
34,10014,44240.38,44289.04,0,1,-146.76
24,10014,35774.7,35814.05,0,0,0
53,10014,27546.04,27576.34,0,-1490,17883.4
50,10014,12569.31,12583.13,0,0,-9942.33
67,10014,10539.19,10550.78,519.13,1419.13,1419.13
54,10014,7376.73,7384.85,0,2462.48,-8763.13
68,10014,522.26,522.84,0,0,-247.27
1,10019,629346,11987913,-648.09,15695.14,58364.67
33,10019,39.11,745,-1.263,-1.263,-2.139
24,10019,10,190.48,0,0,0
1,10017,175852081,11654772,0,0,0
1,10020,26137137,164878288,128542,3208978,3162030
3,10020,8484344,53520943,-34224.73,-34156.32,383117
13,10020,2111022,13316748,0,-1.00E-10,-1.00E-10
8,10020,799377,5042634,134977,95529.96,-20231.13
2,10020,592033,3734668,13859.71,47373.55,27703.04
6,10020,566431,3573165,12811.28,78630.21,110535
33,10020,490831,3096265,5271.19,5908.71,-1500.49
31,10020,476606,3006531,39517.57,19724.42,27859.79
27,10020,397215,2505713,157949,89646.22,-25766.13
5,10020,282731,1783524,-1503.88,-6410.15,-398976
10,10020,254725,1606857,-2710.75,2324.1,-4650.8
